date,가계신용,가계대출,판매신용
2019-07,521719.8249057027,491867.96168272867,29851.863222960746
2019-08,523805.36827494856,493534.3978223003,30270.97045265489
2019-09,526894.2687993484,495925.3402559712,30968.92854338437
2019-10,530986.5264789021,499040.78898374154,31945.737495149213
2019-11,533801.000093864,501640.589459378,32160.410634478507
2019-12,535337.6896442339,503724.7416828804,31612.947961372258
2020-01,535596.5951300123,505293.2456542492,30303.349475830448
2020-02,536754.6065894476,507183.38066790445,29571.22592157216
2020-03,538811.72402254,509395.14672384626,29416.57729859739
2020-04,541767.9474292895,511928.54382207454,29839.403606906137
2020-05,545518.9926377598,515150.39198457566,30368.600652803718
2020-06,550064.8596479509,519060.69121134985,31004.168436290136
2020-07,555405.5484598626,523659.44150239707,31746.10695736539
2020-08,560769.6139864435,528614.4256801112,32155.188306360156
2020-09,566157.0562276936,533925.6437444921,32231.41248327445
2020-10,571567.8751836126,539593.0956955401,31974.779488108255
2020-11,576376.3311698829,544473.3004681469,31903.030701735515
2020-12,580582.4241865044,548566.2580623127,32016.16612415622
2021-01,584186.1542334775,551871.9684780373,32314.185755370392
2021-02,588354.3806918627,555715.5726006905,32638.808091146144
2021-03,593087.1035616598,560097.0704302724,32990.03313148348
2021-04,598384.3228428694,565016.4619667829,33367.860876382416
2021-05,603231.6200692698,569693.4171460734,33538.202923570345
2021-06,607628.9952408607,574127.9359681436,33501.05927304724
2021-07,611576.4483576423,578320.0184329937,33256.429924813136
2021-08,614886.3406683559,581484.007581211,33402.33308714476
2021-09,617558.6721730019,583619.9034127955,33938.768760042105
2021-10,619593.44287158,584727.7059277475,34865.73694350519
2021-11,620735.8398267897,585326.8238344248,35409.015991992055
2021-12,620985.8630386307,585417.2571328274,35568.60590550274
2022-01,620343.5125071037,584999.0058229556,35344.5066840372
2022-02,620226.6759918942,584782.8459677709,35443.83002414292
2022-03,620635.3534930021,584768.7775672735,35866.57592581988
2022-04,621569.5450104276,584956.8006214632,36612.7443890681
2022-05,622267.1792349633,585095.0020654134,37172.177169579074
2022-06,622728.2561666091,585183.3818991233,37544.8742673528
2022-07,622952.7758053654,585221.9401225935,37730.835682389275
2022-08,623072.6386302804,585007.301613266,38065.33701660644
2022-09,623087.844641354,584539.4663711406,38548.37827000429
2022-10,622998.3938385869,583818.4343962175,39179.959442582855
2022-11,622078.462808955,582690.6075048236,39387.855304540346
2022-12,620328.0515524581,581155.9856969588,39172.06585587678
2023-01,617747.160069097,579214.5689726233,38532.59109659216
2023-02,616477.6654841838,578382.5616418219,38095.10384232689
2023-03,616519.5677977189,578659.9637045545,37859.60409308097
2023-04,617872.8670097019,580046.7751608214,37826.091848854434
2023-05,619514.7492826713,581579.8409697721,37934.90831290697
2023-06,621445.2146166269,583259.1611314067,38186.053485238575
2023-07,623664.2630115689,585084.7356457252,38579.52736584924
2023-08,625422.7376193777,586500.7829472608,38921.954672114975
2023-09,626720.6384400533,587507.3030360136,39213.33540403578
2023-10,627557.9654735957,588104.2959119835,39453.66956161166
2023-11,627757.2905032845,588284.1757379883,39473.11476529689
2023-12,627318.6135291198,588046.9425140283,39271.671015091466
2024-01,626241.9345511019,587392.5962401034,38849.3383109954
2024-02,626142.1284212711,587551.4894017946,38590.639019474824
2024-03,627019.1951396272,588523.621999102,38495.573140529756
2024-04,628873.1347061708,590308.9940320257,38564.14067416017
2024-05,630861.5504541785,592193.4626377374,38668.08781644764
2024-06,632984.4423836505,594177.0278162367,38807.41456739219
2024-07,635241.8104945862,596259.6895675241,38982.12092699379
