date,국내총생산(시장가격 GDP),국민총소득(GNI)
1977-08,1623.4437322219692,1619.1515633513518
1977-09,1673.0964471589778,1669.1571321934157
1977-10,1727.1179654300802,1722.508010981427
1977-11,1773.2598709252957,1769.7147224423597
1977-12,1811.5221636446247,1810.777266576213
1978-01,1841.9048435880663,1845.695643382987
1978-02,1879.5468808828768,1885.9785050474397
1978-03,1924.4482755290562,1931.6258515695715
1978-04,1976.6090275266035,1982.6376829493818
1978-05,2032.1924448810385,2038.6373785822975
1978-06,2091.1985275923585,2099.62493846832
1978-07,2153.627275660567,2165.600362607448
1978-08,2215.014005932194,2227.268946686644
1978-09,2275.358718407238,2284.6306907059084
1978-10,2334.661413085699,2337.685594665242
1978-11,2392.8160269410396,2392.285124656144
1978-12,2449.822559973261,2448.4292806786134
1979-01,2505.6810121823605,2506.1180627326507
1979-02,2553.9098660978657,2554.7517111966717
1979-03,2594.509121719775,2594.330226070677
1979-04,2627.4787790480923,2624.8536073546657
1979-05,2667.112109094103,2663.419247159664
1979-06,2713.4091118578053,2710.0271454856706
1979-07,2766.3697873392025,2764.677302332688
1979-08,2815.3576157051493,2813.256864794927
1979-09,2860.372596955648,2855.7658328723855
1979-10,2901.414731090697,2892.2042065650658
1979-11,2947.714216306437,2934.3856450644353
1979-12,2999.271052602866,2982.310148370496
1980-01,3056.0852399799855,3035.977716483244
1980-02,3110.0248568392763,3086.1363211489984
1980-03,3161.089903180738,3132.7859623677573
1980-04,3209.2803790043695,3175.926640139523
1980-05,3263.617713707,3228.916829477822
1980-06,3324.1019072886293,3291.7565303826545
1980-07,3390.7329597492576,3364.4457428540222
1980-08,3456.2410030524716,3431.958738831349
1980-09,3520.62603719827,3494.2955183146332
1980-10,3583.8880621866547,3551.4560813038793
1980-11,3644.68752179376,3607.0541610732803
1980-12,3703.024416019586,3661.0897576228376
1981-01,3758.8987448641324,3713.5628709525463
1981-02,3835.1682684271696,3786.408996070564
1981-03,3931.8329867086977,3879.6281329768894
1981-04,4048.8928997087182,3993.2202816715226
1981-05,4144.838203177184,4085.4031075915386
1981-06,4219.668897114097,4156.176610736938
1981-07,4273.384981519454,4205.540791107722
1981-08,4337.875266481203,4269.401242869627
1981-09,4413.1397519993425,4347.757966022652
1981-10,4499.178438073871,4440.610960566799
1981-11,4553.3042810371,4502.865988777735
1981-12,4575.517280889028,4534.5230506554635
1982-01,4565.8174376296565,4535.58214619998
1982-02,4589.979398592571,4566.260310436123
1982-03,4648.00316377777,4626.557543363895
1982-04,4739.888733185256,4716.473844983293
1982-05,4811.468575648184,4786.247536650673
1982-06,4862.742691166559,4835.878618366036
1982-07,4893.711079740376,4865.367090129381
1982-08,4931.869867078548,4894.188890473182
1982-09,4977.219053181077,4922.344019397437
1982-10,5029.75863804796,4949.832476902148
1982-11,5122.699555728711,5031.980233601714
1982-12,5256.04180622333,5168.787289496136
1983-01,5429.785389531821,5360.253644585409
1983-02,5544.882243210079,5485.154999918672
1983-03,5601.332367258099,5543.491355495921
1983-04,5599.135761675888,5535.26271131716
1983-05,5641.659789023419,5575.7835167846
1983-06,5728.904449300693,5665.05377189824
1983-07,5860.869742507713,5803.073476658085
1983-08,5949.758758928685,5896.123295354482
1983-09,5995.571498563605,5944.203227987435
1983-10,5998.307961412479,5947.313274556941
1983-11,6043.136106065339,5988.855830281612
1983-12,6130.055932522182,6068.830895161447
1984-01,6259.067440783013,6187.238469196449
1984-02,6361.29473726096,6287.411510807862
1984-03,6436.737821956025,6369.350019995687
1984-04,6485.396694868204,6433.053996759923
1984-05,6569.063891945098,6515.389493381039
1984-06,6687.739413186702,6616.356509859033
1984-07,6841.423258593022,6735.955046193908
1984-08,6936.051775999833,6810.713395632195
1984-09,6971.624965407139,6840.6315581738945
1984-10,6948.142826814932,6825.709533819009
1984-11,6943.015172055681,6824.696877366031
1984-12,6956.242001129387,6837.593588814959
1985-01,6987.823314036049,6864.3996681657945
1985-02,7048.451156735677,6916.376436879156
1985-03,7138.125529228271,6993.523894955046
1985-04,7256.846431513832,7095.842042393462
1985-05,7379.991833449848,7206.21504745797
1985-06,7507.561735036323,7324.642910148567
1985-07,7639.55613627326,7451.125630465261
1985-08,7739.037634377549,7554.177087695489
1985-09,7806.006229349188,7633.797281839248
1985-10,7840.461921188183,7689.986212896542
1985-11,7912.129403256793,7762.64378598846
1985-12,8021.008675555021,7851.770001115
1986-01,8167.099738082866,7957.3648582761625
1986-02,8283.797700152678,8053.214928859332
1986-03,8371.102561764457,8139.320212864508
1986-04,8429.014322918203,8215.680710291694
1986-05,8536.931521017988,8338.485301929722
1986-06,8694.854156063808,8507.733987778587
1986-07,8902.782228055668,8723.4267678383
1986-08,9070.277575011882,8898.204886974501
1986-09,9197.340196932448,9032.068345187197
1986-10,9283.970093817366,9125.017142476383
1986-11,9365.49999767557,9220.816484941392
1986-12,9441.929908507062,9319.466372582227
1987-01,9513.25982631184,9420.966805398883
1987-02,9642.247436029156,9557.966809553884
1987-03,9828.892737659004,9730.466385047228
1987-04,10073.195731201395,9938.465531878912
1987-05,10264.12468118595,10117.941169677648
1987-06,10401.67958761266,10268.89329844344
1987-07,10485.860450481541,10391.321918176283
1987-08,10606.110328337607,10521.13763447728
1987-09,10762.429221180857,10658.340447346434
1987-10,10954.817129011299,10802.930356783734
1987-11,11199.376259210436,11023.98006655526
1987-12,11496.106611778268,11321.489576661006
1988-01,11845.008186714798,11695.458887100982
1988-02,12048.80244041283,11921.23204938524
1988-03,12107.489372872367,11998.80906351378
1988-04,12021.068984093403,11928.189929486607
1988-05,12043.78714882861,11959.717698864859
1988-06,12175.643867077984,12093.392371648535
1988-07,12416.63913884153,12329.213947837638
1988-08,12668.48360265127,12580.033881006682
1988-09,12931.177258507201,12845.852171155671
1988-10,13204.72010640933,13126.668818284606
1988-11,13380.140738577864,13306.296366353385
1988-12,13457.43915501281,13384.734815362006
1989-01,13436.615355714162,13361.98416531048
1989-02,13466.422889103878,13395.43337881474
1989-03,13546.861755181963,13485.082455874788
1989-04,13677.931953948411,13630.931396490636
1989-05,13805.425538178719,13765.87008427662
1989-06,13929.342507872878,13889.898519232738
1989-07,14049.682863030901,14003.01670135899
1989-08,14267.055804547228,14221.808720871311
1989-09,14581.461332421866,14546.274577769696
1989-10,14992.899446654808,14976.414272054151
1989-11,15338.009390221945,15331.738491584654
1989-12,15616.791163123258,15612.247236361201
1990-01,15829.244765358782,15817.940506383813
1990-02,16039.149591898575,16023.308444101604
1990-03,16246.505642742643,16228.351049514575
1990-04,16451.312917890977,16433.06832262273
1990-05,16730.75504825983,16709.27139893272
1990-06,17084.832033849198,17056.960278444545
1990-07,17513.54387465909,17476.134961158194
1990-08,17821.338928867248,17785.12741096796
1990-09,18008.217196473663,17983.937627873845
1990-10,18074.178677478347,18072.56561187585
1990-11,18281.98503962076,18289.698398969464
1990-12,18631.636282900894,18635.33598915469
1991-01,19123.13240731876,19109.478382431542
1991-02,19525.857132934158,19504.030193927098
1991-03,19839.81045974708,19818.991423641364
1991-04,20064.992387757527,20054.362071574342
1991-05,20315.568578942,20311.333179876827
