date,소비자물가등락률
1971-04,12.6
1971-05,11.7
1971-06,13.9
1971-07,15.2
1971-08,15.4
1971-09,14.5
1971-10,11.4
1971-11,11.8
1971-12,9.1
1972-01,7.9
1972-02,9.2
1972-03,10.2
1972-04,11.4
1972-05,13.9
1972-06,14.7
1972-07,13.8
1972-08,14.6
1972-09,12.8
1972-10,12.4
1972-11,10.2
1972-12,9.2
1973-01,7.9
1973-02,4.8
1973-03,2.1
1973-04,2
1973-05,2.2
1973-06,1.4
1973-07,0.9
1973-08,0.3
1973-09,1.1
1973-10,2.4
1973-11,5.6
1973-12,8.5
1974-01,12.8
1974-02,18.4
1974-03,22.6
1974-04,24.2
1974-05,24.1
1974-06,23.5
1974-07,25.5
1974-08,28.2
1974-09,29.2
1974-10,27.8
1974-11,28
1974-12,26.4
1975-01,25.4
1975-02,21.3
1975-03,19.1
1975-04,20.6
1975-05,24.3
1975-06,26.9
1975-07,26.5
1975-08,25.3
1975-09,27.5
1975-10,30.5
1975-11,27.9
1975-12,26.5
1976-01,23
1976-02,22.2
1976-03,22
1976-04,19.5
1976-05,16.1
1976-06,15.7
1976-07,15.8
1976-08,14.5
1976-09,11.5
1976-10,8.7
1976-11,9.5
1976-12,9.6
1977-01,9.7
1977-02,11.1
1977-03,10.7
1977-04,9.6
1977-05,10.1
1977-06,10.1
1977-07,9.4
1977-08,9.7
1977-09,9.2
1977-10,10.1
1977-11,10.6
1977-12,11
1978-01,13.3
1978-02,13
1978-03,12.9
1978-04,12.6
1978-05,12.6
1978-06,14.6
1978-07,14.8
1978-08,13.5
1978-09,15.5
1978-10,16.8
1978-11,17
1978-12,16.4
1979-01,14.1
1979-02,15.7
1979-03,16.3
1979-04,19.3
1979-05,21.8
1979-06,19.6
1979-07,18.5
1979-08,18.6
1979-09,17.9
1979-10,17.6
1979-11,18.8
1979-12,21.2
1980-01,25.4
1980-02,26.4
1980-03,28.8
1980-04,26.6
1980-05,26.6
1980-06,27
1980-07,27.5
1980-08,29.2
1980-09,29.8
1980-10,32.5
1980-11,31.3
1980-12,32.2
1981-01,28.8
1981-02,24.4
1981-03,22.3
1981-04,22.4
1981-05,21.3
1981-06,23.2
1981-07,23.4
1981-08,22.6
1981-09,21.9
1981-10,18.3
1981-11,16.6
1981-12,13.7
1982-01,12.4
1982-02,12
1982-03,11
1982-04,10.2
1982-05,8.6
1982-06,6.4
1982-07,5.6
1982-08,4.8
1982-09,3.9
1982-10,3.9
1982-11,4.2
1982-12,4.8
1983-01,5.1
1983-02,5.3
1983-03,4.7
1983-04,4.3
1983-05,3.8
1983-06,3.1
1983-07,2.8
1983-08,2.6
1983-09,2.3
1983-10,2.4
1983-11,2.8
1983-12,2
1984-01,1.8
1984-02,2
1984-03,2
1984-04,2.6
1984-05,2.2
1984-06,1.7
1984-07,1.7
1984-08,2.2
1984-09,3.2
1984-10,2.7
1984-11,2.7
1984-12,2.4
1985-01,2.1
1985-02,1.9
1985-03,1.7
1985-04,1.5
1985-05,2.3
1985-06,3
1985-07,3
1985-08,2.6
1985-09,2.6
1985-10,3.4
1985-11,2.4
1985-12,3
1986-01,3.7
1986-02,3.5
1986-03,3.6
1986-04,3.4
1986-05,3.3
1986-06,3
1986-07,3.1
1986-08,2.8
1986-09,2.3
1986-10,1
1986-11,2
1986-12,1.4
1987-01,0.9
1987-02,0.5
1987-03,1.1
1987-04,1.8
1987-05,2.7
1987-06,2.8
1987-07,2.4
1987-08,4
1987-09,4.1
1987-10,5.2
1987-11,5.2
1987-12,6
1988-01,6.2
1988-02,7.8
1988-03,8.5
1988-04,7.7
1988-05,6.6
1988-06,7.4
1988-07,7.9
1988-08,6.9
1988-09,6.5
1988-10,6.1
1988-11,7.2
1988-12,7.2
1989-01,6.8
1989-02,5.4
1989-03,4.6
1989-04,5.2
1989-05,6
1989-06,5.5
1989-07,5.3
1989-08,5.5
1989-09,6.2
1989-10,6.7
1989-11,6.1
1989-12,5.1
1990-01,7.3
1990-02,7.6
1990-03,8
1990-04,8.7
1990-05,8.6
1990-06,8.9
1990-07,9.4
1990-08,9
1990-09,8.6
1990-10,8.7
1990-11,8.6
1990-12,9.3
1991-01,9.2
1991-02,9.9
1991-03,10.1
1991-04,9.4
1991-05,8.5
1991-06,8.7
1991-07,9
1991-08,9.5
1991-09,9.4
1991-10,9.3
1991-11,9.7
1991-12,9.3
1992-01,7.7
1992-02,7
1992-03,6.8
1992-04,6.9
1992-05,7.3
1992-06,6.8
1992-07,6.6
1992-08,5.9
1992-09,5.7
1992-10,5.4
1992-11,4.4
1992-12,4.5
1993-01,4.5
1993-02,4.6
1993-03,4.8
1993-04,4.8
1993-05,4.5
1993-06,4.8
1993-07,4.3
1993-08,4.4
1993-09,4.6
1993-10,5.1
1993-11,5.5
1993-12,5.8
1994-01,6.4
1994-02,6.8
1994-03,6.4
1994-04,5.9
1994-05,5.7
1994-06,5.9
1994-07,6.9
1994-08,7.4
1994-09,6.5
1994-10,5.8
1994-11,6.1
1994-12,5.6
1995-01,5.2
1995-02,4.5
1995-03,4.6
1995-04,5.1
1995-05,5.2
1995-06,4.2
1995-07,3.6
1995-08,3.4
1995-09,4.7
1995-10,4.5
1995-11,4.1
1995-12,4.8
1996-01,4.8
1996-02,4.8
1996-03,4.4
1996-04,4.5
1996-05,4.9
1996-06,5.2
1996-07,5.4
1996-08,5.3
1996-09,4.5
1996-10,5
1996-11,5.3
1996-12,4.9
1997-01,4.7
1997-02,4.9
1997-03,4.5
1997-04,4.3
