date,총인구수,0~14세 구성비,15~64세 구성비,고령인구비율
2023-12,51325329,11.035216160036693,70.00648159508145,18.958302244881857
2024-01,51313912,10.993774943527985,69.95523163386959,19.05099342260243
2024-02,51303688,10.96253743005766,69.89853633914194,19.138926230800404
2024-03,51293934,10.924664113304313,69.82677522843149,19.24856065826419
2024-04,51285153,10.893396379260095,69.77582966360654,19.330773957133363
2024-05,51277347,10.865585538190969,69.72156340303644,19.412851058772603
2024-06,51271480,10.8358487018514,69.6827339487762,19.4814173493724
2024-07,51265238,10.809564563028069,69.63631184156405,19.554123595407866
2024-08,51256511,10.781125933444827,69.57563303518648,19.643241031368678
2024-09,51248233,10.748345216117013,69.52278920523952,19.72886557864346
2024-10,51238450,10.720054958727284,69.4585960348137,19.821349006459016
2024-11,51226757,10.692658135669216,69.39742642697449,19.9099154373563
2024-12,51217221,10.6691087359074,69.30484963250935,20.02604163158325
2025-01,51207874,10.630523344905903,69.23644008341373,20.133036571680364
2025-02,51191817,10.60402681155076,69.16465184269587,20.231321345753365
2025-03,51183336,10.56778518696007,69.07543111297005,20.356783700069883
2025-04,51175725,10.536708566415033,69.01776379328285,20.445527640302117
2025-05,51169148,10.507020753990275,68.96328232785896,20.52969691815076
2025-06,51164582,10.478995020422525,68.88399088259922,20.637014096978255
2025-07,51159889,10.45147498267637,68.82783697986522,20.720688037458405
2025-08,51154981,10.418905247956205,68.76015260371223,20.820942148331557
2025-09,51149546,10.382150801494895,68.69915912841142,20.91869007009368
2025-10,51143421,10.343856348600537,68.63624746572977,21.019896185669708
2025-11,51128530,10.303484179967622,68.58143975584669,21.11507606418569
2025-12,51117378,10.280613375748654,68.511683052288,21.207703571963336
2026-01,51111158,10.237332130099656,68.42359157661816,21.339076293282183
