date,cpi,가계신용,가계대출,판매신용,경제활동인구,비경제활동인구,취업자,실업자,실업률,고용률,경제활동참가율,소비자물가등락률,근로일수,국내총생산(시장가격 GDP),국민총소득(GNI),중위연령,평균연령,전체임금총액,전체근로일수,전체근로시간,총인구수,0~14세 구성비,15~64세 구성비,고령인구비율,자살자수
2022-10,109.16,623695.9630168801,584516.0035797866,39179.959437093625,29110.0,16192.0,28417.8,692.3,2.4,62.7,64.3,0.3,18.6,193787.2396057468,196107.02821486568,45.1,44.0,3631459.0,18.6,151.0,51459626,11.521768541419249,70.60309182969966,17.875139628881094,1129
2022-10,109.16,623695.9630168801,584516.0035797866,39179.959437093625,29110.0,16192.0,28417.8,692.3,2.4,62.7,64.3,5.6,18.6,193787.2396057468,196107.02821486568,45.1,44.0,3631459.0,18.6,151.0,51459626,11.521768541419249,70.60309182969966,17.875139628881094,1129
2022-11,109.07,622794.1117092043,583406.2564102116,39387.85529899287,29086.5,16231.1,28420.9,665.6,2.3,62.7,64.2,-0.1,20.7,194072.48968183887,196519.549650802,45.1,44.0,3584826.0,20.7,167.9,51450829,11.482868429583515,70.57337015891424,17.943761411502233,987
2022-11,109.07,622794.1117092043,583406.2564102116,39387.85529899287,29086.5,16231.1,28420.9,665.6,2.3,62.7,64.2,5.0,20.7,194072.48968183887,196519.549650802,45.1,44.0,3584826.0,20.7,167.9,51450829,11.482868429583515,70.57337015891424,17.943761411502233,987
2022-11,109.07,622794.1117092043,583406.2564102116,39387.85529899287,29086.5,16231.1,28420.9,665.6,2.3,62.7,64.2,5.1,20.7,194072.48968183887,196519.549650802,45.1,44.0,3584826.0,20.7,167.9,51450829,11.482868429583515,70.57337015891424,17.943761411502233,987
2022-12,109.26,621063.2109739154,581891.1451100019,39172.06586391352,28673.9,16657.8,27807.8,866.2,3.0,61.3,63.3,5.0,20.6,194665.77071241435,197258.82213433235,45.1,44.0,4433753.0,20.6,166.6,51439038,11.451602185872916,70.53233382786047,18.016063986266616,1036
2022-12,109.26,621063.2109739154,581891.1451100019,39172.06586391352,28673.9,16657.8,27807.8,866.2,3.0,61.3,63.3,0.2,20.6,194665.77071241435,197258.82213433235,45.1,44.0,4433753.0,20.6,166.6,51439038,11.451602185872916,70.53233382786047,18.016063986266616,1036
2022-12,109.26,621063.2109739154,581891.1451100019,39172.06586391352,28673.9,16657.8,27807.8,866.2,3.0,61.3,63.3,5.1,20.6,194665.77071241435,197258.82213433235,45.1,44.0,4433753.0,20.6,166.6,51439038,11.451602185872916,70.53233382786047,18.016063986266616,1036
2023-01,110.07,618503.2608110134,579970.6696791578,38532.591131855545,28386.9,16965.0,27363.1,1023.8,3.6,60.3,62.6,5.0,19.4,195567.08269747297,198324.8456654568,45.7,44.6,4694110.0,19.0,153.8,51430018,11.406719709878384,70.48950673126345,18.103773558858176,1007
2023-01,110.07,618503.2608110134,579970.6696791578,38532.591131855545,28386.9,16965.0,27363.1,1023.8,3.6,60.3,62.6,0.7,19.4,195567.08269747297,198324.8456654568,45.7,44.6,4694110.0,19.0,153.8,51430018,11.406719709878384,70.48950673126345,18.103773558858176,1007
